Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY Pharma,TORNTPHARM,3745.20,3769.60,24.40,94.52,94.65,0.71,0.43,-0.13,0.27,4.72,0
NIFTY Pharma,ZYDUSLIFE,928.50,933.00,4.50,94.42,95.68,0.66,0.29,-1.25,0.37,-7.27,0
NIFTY Private Bank,AXISBANK,1266.30,1273.10,6.80,96.07,92.89,0.75,0.61,3.18,0.14,1.60,0
NIFTY Private Bank,BANDHANBNK,149.63,150.64,1.01,94.47,93.19,0.67,0.37,1.28,0.30,-14.80,0
NIFTY Private Bank,FEDERALBNK,255.99,255.62,-0.37,94.25,89.25,0.02,0.26,4.99,-0.25,8.57,0
NIFTY Private Bank,HDFCBANK,989.80,995.00,5.20,98.47,97.28,0.64,0.44,1.19,0.20,-1.37,0
NIFTY Private Bank,ICICIBANK,1357.80,1365.40,7.60,96.68,96.33,0.67,0.42,0.35,0.25,-0.39,0
NIFTY Private Bank,IDFCFIRSTB,79.35,79.70,0.35,95.02,96.04,0.71,0.70,-1.01,0.00,0.19,0
NIFTY Private Bank,KOTAKBANK,2069.90,2081.10,11.20,97.02,94.93,0.58,0.63,2.08,-0.05,-4.21,0
NIFTY Private Bank,RBLBANK,308.25,310.25,2.00,89.66,85.58,0.76,0.93,4.08,-0.17,-5.18,0
NIFTY Private Bank,YESBANK,22.70,22.81,0.11,96.52,93.95,0.70,0.69,2.57,0.01,-0.13,0
NIFTY Private Bank,YESBANK,22.70,22.81,0.11,96.52,93.95,0.70,0.69,2.57,0.01,-0.13,0
NIFTY Realty,DLF,721.30,726.30,5.00,96.03,90.97,0.71,0.56,5.06,0.15,-6.81,0
NIFTY Realty,GODREJPROP,2094.00,2105.80,11.80,95.97,95.87,0.72,0.64,0.10,0.08,-8.82,0
NIFTY Realty,HUDCO,230.76,232.28,1.52,96.81,92.18,0.76,0.45,4.64,0.31,2.14,0
NIFTY Realty,LODHA,1160.20,1167.00,6.80,97.63,93.30,0.69,0.57,4.33,0.12,-0.75,0
NIFTY Realty,OBEROIRLTY,1629.60,1637.30,7.70,95.45,92.32,0.66,0.08,3.14,0.57,-4.60,0
NIFTY Realty,PHOENIXLTD,1731.70,1739.20,7.50,95.27,90.97,0.70,0.49,4.29,0.20,1.75,0
NIFTY Realty,PRESTIGE,1655.90,1668.20,12.30,95.71,90.18,0.66,0.56,5.53,0.11,-5.82,0
NIFTY Services,DMART,3988.60,4003.80,15.20,88.64,90.74,0.43,0.00,-2.10,0.42,-5.50,0
NIFTY Services,NAUKRI,1332.00,1338.00,6.00,97.23,93.40,0.66,0.47,3.83,0.19,-3.88,0
NIFTY Services,NYKAA,270.45,267.08,-3.37,94.54,88.65,-1.44,-0.80,5.89,-0.64,5.29,0
NIFTY Telecom,BHARTIARTL,2161.60,2170.30,8.70,87.12,91.13,0.64,0.50,-4.02,0.14,3.42,0
NIFTY Telecom,IDEA,10.05,10.13,0.08,96.25,96.09,0.70,0.63,0.15,0.06,6.46,0
NIFTY Telecom,IDEA,10.05,10.13,0.08,96.25,96.09,0.70,0.63,0.15,0.06,6.46,0
NIFTY Telecom,INDUSTOWER,403.60,406.50,2.90,91.92,96.07,0.61,0.60,-4.15,0.01,4.59,0
NIFTY Textile,PAGEIND,38535.00,38540.00,5.00,91.91,91.60,0.26,-1.08,0.31,1.34,-5.82,0
